ID,vehicles,persons,trips,CTFIP,ZONE_ID,,
1,2,3,11.5,17043,2,,
2,3,3,15,17031,1,,
3,1,1,7,17031,1,,
4,2,2,12,17031,1,,
5,2,1,2,17089,4,,
6,2,2,4.5,17197,8,,
7,2,2,12,17031,1,,
8,2,2,7,17031,1,,
9,1,1,1.5,17031,1,,
10,2,2,16,17043,2,,
11,2,2,4,17043,2,,
12,2,2,4.5,17031,1,,
13,2,2,10,17031,1,,
14,2,2,12.5,17043,2,,
15,3,5,19,17097,6,,
16,3,3,17,17197,8,,
17,2,2,6,17031,1,,
18,1,2,5,17031,1,,
19,2,3,14,17111,7,,
20,1,1,2,17097,6,,
21,2,2,8.5,17031,1,,
22,1,1,0,17111,7,,
23,3,2,28,17043,2,,
24,1,2,6,17031,1,,
25,2,2,5,17043,2,,
26,1,2,4,17031,1,,
27,1,1,3.5,17031,1,,
28,4,3,0,17093,5,,
29,0,1,6,17031,1,,
30,1,2,0,17097,6,,
31,2,1,12,17031,1,,
32,2,2,5,17197,8,,
33,3,2,14,17031,1,,
34,3,5,9.5,17031,1,,
35,2,2,6,17031,1,,
36,2,2,5,17031,1,,
37,1,4,20,17031,1,,
38,2,4,9.5,17043,2,,
39,2,4,22,17031,1,,
40,3,3,9.5,17031,1,,
41,1,1,1.5,17043,2,,
42,2,2,7.5,17031,1,,
43,1,2,4,17031,1,,
44,2,2,7,17097,6,,
45,2,5,32,17043,2,,
46,1,2,6.5,17031,1,,
47,2,4,23,17089,4,,
48,2,7,20,17197,8,,
49,1,1,5.5,17031,1,,
50,2,6,24.5,17031,1,,
51,1,1,2,17031,1,,
52,3,3,8,17031,1,,
53,1,1,4,17097,6,,
54,3,6,16,17111,7,,
55,1,1,7,17031,1,,
56,2,3,11.5,17031,1,,
57,1,2,4,17031,1,,
58,1,2,4,17089,4,,
59,1,1,10,17031,1,,
60,2,2,5.5,17043,2,,
61,2,2,6,17031,1,,
62,1,2,16,17031,1,,
63,2,2,16,17197,8,,
64,4,3,20.5,17043,2,,
65,1,1,2,17031,1,,
66,0,1,2,17031,1,,
67,0,2,25,17031,1,,
68,2,2,19,17031,1,,
69,1,1,3.5,17043,2,,
70,3,2,3,17097,6,,
71,2,2,6,17031,1,,
72,2,4,9,17089,4,,
73,3,3,9,17043,2,,
74,2,2,3.5,17031,1,,
75,2,2,14,17043,2,,
76,1,1,5.5,17031,1,,
77,0,1,2,17031,1,,
78,0,2,3,17031,1,,
79,3,3,10,17031,1,,
80,2,2,9,17031,1,,
81,2,2,8,17031,1,,
82,2,3,14,17097,6,,
83,3,2,6,17089,4,,
84,3,3,12,17031,1,,
85,2,2,4,17097,6,,
86,2,2,3.5,17031,1,,
87,2,2,9,17089,4,,
88,1,2,10,17089,4,,
89,1,1,5,17031,1,,
90,2,2,11,17097,6,,
91,0,1,6,17031,1,,
92,3,3,2,17089,4,,
93,1,1,6,17031,1,,
94,3,2,5.5,17031,1,,
95,0,2,5.5,17031,1,,
96,6,4,16,17093,5,,
97,3,2,9,17031,1,,
98,1,1,6,17043,2,,
99,1,1,3,17097,6,,
100,2,2,9,17031,1,,
101,2,3,17.5,17097,6,,
102,1,3,31.5,17031,1,,
103,2,1,4,17031,1,,
104,1,1,7,17043,2,,
105,2,2,5,17043,2,,
106,1,3,14,17031,1,,
107,0,1,7,17031,1,,
108,3,2,0,17097,6,,
109,1,1,0,17097,6,,
110,2,2,5,17097,6,,
111,1,1,2,17043,2,,
112,1,1,3,17031,1,,
113,2,3,11,17197,8,,
114,2,2,11,17089,4,,
115,3,3,10,17097,6,,
116,0,1,3,17031,1,,
117,1,2,8,17031,1,,
118,2,2,10,17031,1,,
119,2,1,7,17197,8,,
120,2,4,25,17043,2,,
121,2,2,10.5,17197,8,,
122,2,2,8,17097,6,,
123,2,3,16.5,17031,1,,
124,3,4,4,17031,1,,
125,2,1,0,17031,1,,
126,2,2,8,17043,2,,
127,3,3,14,17111,7,,
128,2,4,12,17197,8,,
129,2,2,15.5,17043,2,,
130,2,4,10.5,17197,8,,
131,0,1,2,17031,1,,
132,2,4,10.5,17031,1,,
133,1,2,4,17043,2,,
134,4,3,11,17031,1,,
135,2,2,4,17031,1,,
136,2,2,8,17031,1,,
137,5,3,9,17043,2,,
138,1,1,6.5,17097,6,,
139,3,2,4.5,17031,1,,
140,2,2,6,17031,1,,
141,2,5,19.5,17031,1,,
142,2,2,6,17031,1,,
143,1,1,4,17031,1,,
144,2,2,8.5,17197,8,,
145,1,1,2,17197,8,,
146,2,2,7.5,17031,1,,
147,1,1,5,17031,1,,
148,3,2,8,17031,1,,
149,1,1,5.5,17031,1,,
150,0,1,0,17093,5,,
151,2,2,6,17089,4,,
152,2,4,8,17097,6,,
153,3,2,12,17111,7,,
154,2,2,5,17031,1,,
155,2,2,4.5,17031,1,,
156,1,1,1.5,17031,1,,
157,2,3,2,17197,8,,
158,2,2,12,17093,5,,
159,0,1,3,17031,1,,
160,1,4,11,17031,1,,
161,1,1,11,17093,5,,
162,3,2,6,17031,1,,
163,2,3,14.5,17031,1,,
164,2,4,9,17031,1,,
165,3,4,0,17031,1,,
166,2,4,24,17031,1,,
167,2,3,3,17031,1,,
168,2,4,15,17089,4,,
169,1,1,4,17031,1,,
170,3,4,19.5,17043,2,,
171,3,3,12,17031,1,,
172,2,2,5,17031,1,,
173,2,4,9.5,17097,6,,
174,1,3,10,17031,1,,
175,1,1,7,17097,6,,
176,1,2,3.5,17031,1,,
177,1,2,0,17031,1,,
178,2,3,12,17031,1,,
179,4,2,5,17097,6,,
180,0,2,4,17197,8,,
181,2,2,4,17043,2,,
182,2,4,6,17031,1,,
183,1,6,17,17031,1,,
184,1,1,0,17031,1,,
185,1,2,3,17031,1,,
186,2,4,26,17031,1,,
187,1,1,2,17031,1,,
188,2,2,14.5,17111,7,,
189,0,1,2.5,17031,1,,
190,0,1,0,17031,1,,
191,2,4,18,17031,1,,
192,0,1,6,17031,1,,
193,2,2,5,17031,1,,
194,2,2,4,17031,1,,
195,1,2,11.5,17043,2,,
196,2,2,5.5,17097,6,,
197,2,1,11.5,17031,1,,
198,1,1,2,17031,1,,
199,0,1,2,17031,1,,
200,1,1,7,17031,1,,
201,1,1,4,17197,8,,
202,5,3,10,17089,4,,
203,1,1,5,17031,1,,
204,1,2,11.5,17031,1,,
205,2,2,8,17031,1,,
206,1,2,10,17043,2,,
207,2,5,30,17031,1,,
208,1,2,4,17089,4,,
209,4,2,16,17031,1,,
210,1,2,11,17031,1,,
211,2,2,6.5,17031,1,,
212,3,3,9.5,17031,1,,
213,1,1,6,17031,1,,
214,2,3,6,17111,7,,
215,1,1,0,17043,2,,
216,1,2,5.5,17031,1,,
217,2,4,17.5,17031,1,,
218,1,1,9,17031,1,,
219,2,2,10,17093,5,,
220,2,4,13.5,17089,4,,
221,2,5,8,17031,1,,
222,2,3,6,17111,7,,
223,1,3,7,17031,1,,
224,1,1,2,17031,1,,
225,1,1,4,17031,1,,
226,1,1,2.5,17043,2,,
227,1,3,10.5,17031,1,,
228,1,1,3,17031,1,,
229,2,6,20,17031,1,,
230,2,2,2,17097,6,,
231,1,1,2,17197,8,,
232,1,1,3,17043,2,,
233,2,3,13,17031,1,,
234,4,5,18,17097,6,,
235,3,3,8,17043,2,,
236,2,2,11.5,17097,6,,
237,2,2,2,17043,2,,
238,1,1,2.5,17197,8,,
239,1,2,8,17031,1,,
240,1,2,4,17031,1,,
241,0,1,5,17031,1,,
242,4,5,24,17089,4,,
243,2,3,21.5,17097,6,,
244,1,1,2,17111,7,,
245,3,3,9,17097,6,,
246,1,1,3,17089,4,,
247,1,1,5.5,17031,1,,
248,2,4,11.5,17031,1,,
249,0,3,1,17031,1,,
250,1,1,6,17031,1,,
251,2,2,12,17097,6,,
252,1,2,2,17031,1,,
253,0,1,0,17031,1,,
254,1,2,5.5,17031,1,,
255,1,1,5,17031,1,,
256,1,3,15.5,17043,2,,
257,1,1,10,17031,1,,
258,2,4,24.5,17031,1,,
259,1,2,2.5,17043,2,,
260,0,1,2,17031,1,,
261,0,1,0,17031,1,,
262,1,4,12.5,17031,1,,
263,2,4,11.5,17043,2,,
264,0,1,4,17031,1,,
265,2,3,7.5,17031,1,,
266,2,2,3,17111,7,,
267,2,2,6,17197,8,,
268,1,1,0,17031,1,,
269,1,3,2,17031,1,,
270,1,1,4,17031,1,,
271,1,1,5.5,17031,1,,
272,3,3,7.5,17031,1,,
273,1,1,4.5,17031,1,,
274,2,3,14,17111,7,,
275,1,1,6,17031,1,,
276,3,3,8,17097,6,,
277,0,1,1,17031,1,,
278,2,4,18,17031,1,,
279,2,3,10,17089,4,,
280,2,2,8,17197,8,,
281,0,1,2.5,17031,1,,
282,2,4,20,17197,8,,
283,1,1,7.5,17043,2,,
284,2,3,10,17031,1,,
285,1,1,8,17031,1,,
286,1,1,2.5,17089,4,,
287,0,1,3,17031,1,,
288,2,2,2.5,17043,2,,
289,1,1,5,17031,1,,
290,2,5,16,17031,1,,
291,1,1,5,17031,1,,
292,2,2,5.5,17097,6,,
293,4,2,12.5,17197,8,,
294,0,1,6,17031,1,,
295,3,2,6.5,17197,8,,
296,2,4,6,17111,7,,
297,1,3,13.5,17111,7,,
298,0,1,0,17031,1,,
299,2,2,6,17031,1,,
300,1,1,7,17031,1,,
301,1,1,6,17043,2,,
302,3,2,13.5,17097,6,,
303,2,2,6,17197,8,,
304,2,2,15.5,17097,6,,
305,1,1,9,17031,1,,
306,2,2,19,17097,6,,
307,1,2,7,17031,1,,
308,2,3,16,17089,4,,
309,1,1,2,17111,7,,
310,0,1,0,17031,1,,
311,1,1,6.5,17089,4,,
312,3,3,7,17197,8,,
313,2,2,4,17031,1,,
